period,strategy,num_assets,total_return,sharpe_ratio,max_drawdown,win_rate,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2019,Individual Asset,,,,,,BSV-USD,2019-01-02,2019-12-30,363 days,100.0,226.60634805309354,126.60634805309357,2.2055858491928815,100.0,19.90937183935395,29.62395887184338,138 days 00:00:00,89.0,89.0,0.0,0.0,32.58426966292135,73.82929252349999,-10.578525749598862,11.170962989254448,-2.794980367285773,2 days 18:12:24.827586206,1 days 04:48:00,1.6048901228800803,1.4225432365516117,1.251159375632492,4.308336981718227,1.535375853307625,3.6923864308097794
2020,Equal Weight Portfolio,10.0,0.5166254397191279,1.4012767596111544,-0.1207557195997917,0.42032967032967034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Individual Asset,,,,,,BTC-USD,2020-01-02,2020-12-30,364 days,100.0,214.0139967619384,114.0139967619384,312.8706048121783,100.0,22.139059722354627,28.25724088492054,181 days 00:00:00,93.0,92.0,1.0,12.83046993218099,36.95652173913043,24.630091398863595,-7.199908760487301,5.385717477983284,-1.7566975836875252,2 days 21:10:35.294117647,1 days 03:18:37.241379310,1.8501787474777973,1.09982094380171,1.942000081601727,4.050707560598021,1.58181928203137,4.038579127691145
2020,Individual Asset,,,,,,ETH-USD,2020-01-02,2020-12-30,364 days,100.0,419.3352307663445,319.3352307663445,489.9206504563165,100.0,30.99370266851511,19.859995486477185,70 days 00:00:00,86.0,85.0,1.0,77.77265722795784,45.88235294117647,29.009799173167128,-8.24727272185388,6.446415795799243,-2.442328840944624,2 days 23:23:04.615384615,1 days 04:10:26.086956521,2.1008668880648353,2.8419126298633715,2.8087747953175697,16.162637504068055,1.784893346189392,5.488757355656722
2020,Individual Asset,,,,,,XRP-USD,2020-01-02,2020-12-30,364 days,100.0,100.34654755739868,0.346547557398677,12.648700186824403,0.6891768942061295,0.04643154294788837,0.10929271881308768,280 days 00:00:00,90.0,90.0,0.0,0.0,33.33333333333333,108.89228945904009,-8.5339729098657,8.733785775730393,-2.2792246751070557,3 days 14:24:00,1 days 04:00:00,1.9431711703882537,0.0038505284155408524,1.2560178756643017,3.1795463338326146,1.5365316315334647,3.1848913486093484
2020,Individual Asset,,,,,,BCH-USD,2020-01-02,2020-12-30,364 days,100.0,69.19055166675574,-30.809448333244262,83.34729142029474,100.0,13.79881277152384,61.46665564740458,351 days 00:00:00,96.0,95.0,1.0,-0.06919055166675037,35.78947368421053,26.301597412030063,-15.541287537407719,4.97058967885907,-3.119389775115479,2 days 21:10:35.294117647,1 days 05:30:29.508196721,0.7980614461475228,-0.32358166085871076,-0.21035863619930478,-0.5023768029932717,0.9528812608947594,-0.33686922047210655
2020,Individual Asset,,,,,,LTC-USD,2020-01-02,2020-12-30,364 days,100.0,140.29325249862674,40.29325249862674,225.10367489820302,91.95266631623772,9.931009738922118,27.3460675827145,291 days 00:00:00,88.0,88.0,0.0,0.0,45.45454545454545,23.352647677668305,-10.625231020314809,5.069257040498054,-3.07427044377959,2 days 20:24:00,1 days 07:00:00,1.465447709888893,0.4578778693025759,1.1011659520788202,1.4782309389347592,1.2679082014525433,1.8423727717770095
2020,Individual Asset,,,,,,EOS-USD,2020-01-02,2020-12-30,364 days,100.0,99.45057060182094,-0.5494293981790568,5.992007326133719,5.298208246450967,0.5486820751428606,1.578678019735707,325 days 00:00:00,94.0,94.0,0.0,0.0,32.97872340425532,23.01496713328835,-12.796560353208996,5.052236661211771,-2.6265366244624726,3 days 02:19:21.290322580,1 days 07:14:17.142857142,0.8916834216186126,-0.005844993597649548,-0.30582493405716393,-0.3489848133093579,0.9350363766277994,-0.44051206834692197
2020,Individual Asset,,,,,,BNB-USD,2020-01-02,2020-12-30,364 days,100.0,111.57942271995546,11.579422719955456,192.74788648247042,34.64503592146535,3.960725061416626,8.595787045626928,213 days 00:00:00,94.0,94.0,0.0,0.0,38.297872340425535,34.21276359518288,-10.250938960014286,5.653735499752408,-2.5495812502236563,3 days 08:00:00,1 days 03:18:37.241379310,1.374959216588691,0.12318534808463227,0.9782937283876985,1.351012289486327,1.216060565824646,1.5745650434565044
2020,Individual Asset,,,,,,BSV-USD,2020-01-02,2020-12-30,364 days,100.0,254.10988219526848,154.10988219526848,79.77902035353566,100.0,31.177250517527497,34.00277794746111,351 days 00:00:00,80.0,79.0,1.0,-0.16690309143066406,39.24050632911392,89.24463634607541,-11.056087101244549,8.758145192294982,-2.9069180026467416,2 days 13:09:40.645161290,1 days 03:00:00,1.5386743957959752,1.952870699831637,1.0687249627595057,4.551444786283067,1.8598421847722735,4.495688423196684
