crypto,period,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
BTC-USD,2021,2021-01-02,2021-12-30,363 days,100.0,110.32843811610162,10.328438116101623,46.847611255066646,100.0,20.690014696045512,49.75230214433881,312 days,92,91,1,-0.11032843811608473,32.967032967032964,29.40380314676861,-13.50842375136319,6.155967935628783,-2.613821930456518,2 days 20:48:00,1 days 08:39:20.655737704,1.057345625995181,0.11471172037601907,0.44691684213500843,0.20879843427012695,1.0958709945197331,0.6787399529929519
ETH-USD,2021,2021-01-02,2021-12-30,363 days,100.0,182.51660708161586,82.51660708161587,379.4944295030872,100.0,33.17257671315844,51.04905352969411,233 days,94,93,1,-0.18251660708159534,38.70967741935484,57.79770492170163,-27.373149067803016,8.179999014432287,-3.6817975425581304,3 days 01:19:59.999999999,1 days 05:53:41.052631578,1.214819492586925,0.889237889125778,1.2031218780533592,1.6282897785728108,1.2786534224896335,1.928175477623223
XRP-USD,2021,2021-01-02,2021-12-30,363 days,100.0,100.75658401503806,0.7565840150380516,278.8089759909485,1.8035250485459235,0.06265384368073681,0.4068197522650907,260 days,84,83,1,-0.0001697265435163873,45.78313253012048,41.63764430921433,-28.64088908158256,8.853577414667882,-4.5616131129240856,2 days 13:15:47.368421052,1 days 06:24:00,1.962248014211041,0.009117514958814067,1.1916320724041405,1.8700378586948148,1.4638931904852153,2.2078783354082963
LTC-USD,2021,2021-01-02,2021-12-30,363 days,100.0,166.54733496092447,66.54733496092447,8.281525423351322,100.0,14.109278144507648,48.05383635949925,235 days,77,76,1,-0.044236341759384235,48.68421052631579,28.004920124961824,-35.83719145447844,7.883864756190895,-4.9732692605020254,3 days 09:43:47.027027027,1 days 12:18:27.692307692,1.324805009849692,0.8762048855616302,1.174111809779983,1.3946041158919327,1.3104109017431294,1.7469104535932567
BCH-USD,2021,2021-01-02,2021-12-30,363 days,100.0,88.4506514840939,-11.549348515906104,21.696787934039776,100.0,16.35518912331135,62.01060055591413,258 days,86,86,0,0.0,36.04651162790697,34.504970742790405,-21.743059492640825,6.742581140990694,-3.681971008300126,3 days 09:17:25.161290322,1 days 08:43:38.181818181,0.9471407417671366,-0.13429475018495474,0.17908295985889897,-0.1872121240346881,1.0401517387515333,0.27088865384155325
ADA-USD,2021,2021-01-02,2021-12-30,363 days,100.0,100.90048280721535,0.9004828072153614,666.7635984444321,2.849428284765217,0.10997759612757935,0.6525937195654722,129 days,73,72,1,-0.00017121695176141571,43.05555555555556,129.89639550484435,-17.794348704943523,13.777927112428918,-3.829347688707738,3 days 00:46:27.096774193,1 days 06:26:20.487804878,1.6759586591401596,0.012509083668987838,1.0185800221547012,1.387488895728467,1.3513790110354391,1.587361838034179
DOT-USD,2021,2021-01-02,2021-12-30,363 days,100.0,105.53057095192767,5.530570951927672,199.36234519604793,48.057270585430786,2.74789702875992,12.318133788256995,230 days,91,90,1,-0.007957237909790707,36.666666666666664,59.61603324737263,-38.09558386835923,11.060160031446571,-4.560211196002572,3 days 00:43:38.181818181,1 days 04:12:37.894736842,1.1558439987968518,0.06153920210930536,0.43072413379108926,0.4515192528009838,1.1164803125533098,0.6978422488539691
LINK-USD,2021,2021-01-02,2021-12-30,363 days,100.0,80.99909759157907,-19.00090240842092,63.42159846826969,37.19001630622847,2.486767960626259,29.379842047085376,239 days,90,89,1,-0.0024525041883678824,43.82022471910113,30.96183395919787,-37.40153888205316,9.018283697411897,-6.652011581764311,3 days 01:13:50.769230769,1 days 07:12:00,0.6992255211530021,-0.21346572926103968,-0.7656703793574182,-0.6499317633594108,0.8106384886234596,-0.928162066531686
BNB-USD,2021,2021-01-02,2021-12-30,363 days,100.0,135.94990287975094,35.94990287975095,1256.9250032220036,100.0,17.67579221512288,46.2496036517001,254 days,91,91,0,0.0,43.956043956043956,96.50491797104746,-17.285096507548527,9.771112177321614,-3.91146337869409,2 days 06:36:00,1 days 02:49:24.705882352,1.146581820401135,0.395053877799461,0.7797492007476643,0.7822799695607365,1.2255272632795955,1.3474210396478514
XLM-USD,2021,2021-01-02,2021-12-30,363 days,100.0,100.23836861435369,0.23836861435369455,109.92411272981468,0.6229003549156621,0.028757626709801,0.15154428543414597,228 days,84,83,1,-1.7958438724825082e-06,38.55421686746988,131.15219994816056,-20.66233221111935,10.32243284627346,-4.291321625090601,3 days 00:45:00,1 days 09:52:56.470588235,1.7034742113707133,0.0028719326529827345,1.0227165902100275,1.5816070663827804,1.3110810593905151,1.7842509369372248
