crypto,period,start_date,end_date,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
XRP-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,100.21336353699408,0.21336353699407717,12.648700186824403,0.5834637873720327,0.018372144918638363,0.06151109880432444,168 days,85,85,0,0.0,35.294117647058826,108.89228945904009,-8.5339729098657,9.011191668938961,-2.1829374444872482,3 days 15:12:00,1 days 03:55:38.181818181,2.2570410318923124,0.00251015925875385,1.3258614807554205,3.478239396140854,1.7034363609451764,3.0877447195955137
BCH-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,80.00646826550717,-19.993531734492834,83.34729142029474,100.0,12.415323246840604,56.335305123588086,351 days,96,95,1,-0.07855157366708226,35.78947368421053,26.301597412030063,-15.541287537407733,4.970589678859066,-3.1193897751154855,2 days 21:10:35.294117647,1 days 05:30:29.508196721,0.8566764284506985,-0.20963137011395472,-0.05374875056885977,-0.3557723776284887,0.9867600565358211,-0.09263882499992196
LTC-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,143.06391604909533,43.06391604909532,225.10367489820302,80.32710252565582,5.072568391831165,13.620366908303867,282 days,88,88,0,0.0,45.45454545454545,23.352647677668305,-10.625231020314809,5.1392752166954105,-3.07427044377959,2 days 19:48:00,1 days 07:00:00,2.0212019306499864,0.4893626823760828,1.553936445035767,3.172068638174204,1.5208413248956076,2.983097144212382
EOS-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,99.16093795279068,-0.8390620472093239,5.992007326133719,4.306314122165185,0.2320263020920253,1.3512041419387968,322 days,95,95,0,0.0,32.631578947368425,23.014967133288348,-12.796560353208996,5.128982919557862,-2.5977140623810744,3 days 03:52:15.483870967,1 days 07:52:30,0.6815487824930746,-0.008832232075887642,-0.8446065031234978,-0.6226723351458396,0.8010668274646964,-1.0968113150695522
BNB-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,112.51187481310382,12.511874813103816,192.74788648247042,24.48914593648785,1.8816305955279031,4.461897530429361,213 days,93,93,0,0.0,38.70967741935484,34.21276359518288,-10.250938960014285,5.66899978596328,-2.4595101590956103,3 days 07:20:00,1 days 03:22:06.315789473,1.908917439157559,0.13453628831294429,1.6283216176322484,2.812328122767396,1.4502150817806112,2.9403574914227275
BSV-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,240.69990395214157,140.69990395214157,79.77902035353566,96.44957704092468,9.482640706535506,25.230794027654095,351 days,82,81,1,-0.012755425928330056,38.2716049382716,89.2446363460754,-11.056087101244549,9.674339452421629,-2.7688677547398575,2 days 15:29:01.935483870,1 days 03:50:24,2.7583632597256984,1.7371933256551815,1.0493704519663818,5.599564020710168,2.6118842259723984,5.136359479752803
ADA-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,100.04726529421609,0.047265294216091075,461.93700072683504,0.18636566381509168,0.007931862375945196,0.03589597561179922,137 days,86,86,0,0.0,39.53488372093023,37.64684812516976,-12.855489779357779,8.679544992442056,-3.440411429353735,3 days 04:14:07.058823529,1 days 03:41:32.307692307,1.6219133449215233,0.0005495964443731533,1.0328898832884794,1.3203478630771208,1.3355753051547776,1.888588448729421
XTZ-USD,2020,2020-01-01,2020-12-31,2020-01-02,2020-12-30,364 days,100.0,100.11132512518772,0.11132512518772476,60.31153928725295,3.8557833411259854,0.21828515316112054,1.6422992864233328,179 days,92,92,0,0.0,36.95652173913043,45.43742593480737,-12.18512642049909,7.166361863846345,-3.379165978245988,3 days 02:49:24.705882352,1 days 07:26:53.793103448,1.0368713005148678,0.0012100557085622035,0.09394647906087035,0.06797246702146646,1.0246919167417257,0.14680215873892108
BTC-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,136.41272314074712,36.412723140747104,46.847611255066646,100.0,22.39648113548377,37.686417923444516,239 days,88,87,1,-0.1364127231407224,35.63218390804598,29.40380314676862,-9.740122967440326,5.911307971837895,-2.4661448287413847,2 days 19:21:17.419354838,1 days 07:17:08.571428571,1.2048337544236505,0.4201050099297454,0.8777151821532119,0.9724007554375816,1.2008946110910819,1.4165863784489146
ETH-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,200.6312829998176,100.6312829998176,379.4944295030872,100.0,34.76763769708548,49.08214528975266,241 days,93,92,1,-0.20063128299980804,38.04347826086957,57.79770492170163,-27.37314906780302,8.5371514687101,-3.6817975425581304,3 days 04:06:51.428571428,1 days 05:53:41.052631578,1.2520636187764072,1.0959990682914942,1.3330756073900831,2.065974372906187,1.3118622261960975,2.199499264217508
XRP-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,100.77654588860979,0.7765458886097831,278.8089759909485,1.8122607474910735,0.06401887017943829,0.41040976773769583,260 days,84,83,1,-0.0001742371528568496,45.78313253012048,41.63764430921433,-28.64088908158256,8.853577414667882,-4.5616131129240856,2 days 13:15:47.368421052,1 days 06:24:00,1.969728158608868,0.009358073804369163,1.2003859182797947,1.9025888286496224,1.4660454738388518,2.2174474292425983
LTC-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,170.7475709864976,70.7475709864976,8.281525423351322,100.0,14.179214776141112,46.82159715500641,235 days,77,76,1,-0.043939618881784555,48.68421052631579,28.004920124961817,-35.83719145447845,7.883864756190892,-4.9732692605020254,3 days 09:43:47.027027027,1 days 12:18:27.692307692,1.3491063027718768,0.9314672448076231,1.2234780365259013,1.5217685538811931,1.3243383164296516,1.8418872998435425
BCH-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,68.28156830448727,-31.718431695512734,21.696787934039776,100.0,14.000609718886524,62.41508028655227,258 days,87,87,0,0.0,35.63218390804598,34.50497074279039,-21.743059492640825,6.5684475241714875,-4.043230362556514,3 days 08:30:58.064516129,1 days 09:00:00,0.8446305753310532,-0.36457967466106656,-0.12781716452837666,-0.5104826456321643,0.9728680829037121,-0.18351994277556333
