period,strategy,num_assets,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,num_days,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2019,Equal Weight Portfolio,10.0,-0.4047295103168864,-0.4064284050190424,-0.5305526688664821,-0.6167137738201947,0.4697802197802198,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Individual Asset,,,,,,,,BTC-USD,2019-01-01,2019-12-30,364 days,100.0,-301.63812054552716,-401.63812054552716,89.74781138454789,100.0,15.788835406072069,625.2389453687994,362 days,5.0,4.0,1.0,-142.7599929200707,0.0,-0.3761934307807129,-6.224907750307491,nan,-1.9681665585415544,NaT,1 days 06:00:00,0.0,-64.71953190636415,-1.3061771510675486,nan,0.44464874759200984,-1.314305804123377
2019,Individual Asset,,,,,,,,ETH-USD,2019-01-01,2019-12-30,364 days,100.0,243.2996746797711,143.2996746797711,-5.813068109723929,976.6597043596004,58.52067405310948,78.19804041975847,132 days,186.0,185.0,1.0,-0.13263348388671875,32.432432432432435,23.611161396774914,-9.071375989760629,6.06723638306863,-2.1831931249336316,3 days 04:23:59.999999999,1 days 09:01:26.399999999,1.3264623493611956,0.7753097738576105,1.2578203243457635,1.8401317436140883,1.2866118930626163,2.5545608906304755
2019,Individual Asset,,,,,,,,XRP-USD,2019-01-01,2019-12-30,364 days,100.0,100.01282470291854,0.012824702918529107,-46.686005128890564,0.47492888533543764,0.11785620087385183,0.2106726341233133,175 days,190.0,189.0,1.0,-0.000194473996758461,33.33333333333333,28.723191906258045,-9.188114455435324,4.205072647173652,-2.0828090701993274,3 days 00:22:51.428571428,1 days 08:57:08.571428571,1.015544044453679,6.888453394332354e-05,0.054574030606110525,0.06104227982700474,1.0088764286480139,0.08757192968824576
2019,Individual Asset,,,,,,,,BCH-USD,2019-01-01,2019-12-30,364 days,100.0,-4.82229918195668,-104.8222991819567,27.023917542452992,100.0,35.74318900935728,103.57053110384973,226 days,95.0,94.0,1.0,4.367745827036207,28.723404255319153,70.68459418203992,-13.411579028309479,8.863749963126857,-3.2784971448481803,3 days 08:00:00,1 days 08:35:49.253731343,0.7504490437092239,-1.161596223499922,-1.1341707676040298,nan,0.7085923466237134,-1.2159299617612471
2019,Individual Asset,,,,,,,,EOS-USD,2019-01-01,2019-12-30,364 days,100.0,101.61022126078606,1.6102212607860642,-0.6753781687190319,8.407988766899658,1.457522755861283,1.942001831465109,97 days,186.0,185.0,1.0,-0.0026455440521240235,32.432432432432435,35.62564919463354,-15.609204970688536,6.531569459504272,-2.9943618618328784,3 days 03:12:00,1 days 09:36:00,1.105820320945528,0.008718198945071268,0.38859910385559004,0.8314515687723949,1.0676766046961452,0.6087955584507249
2019,Individual Asset,,,,,,,,LTC-USD,2019-01-01,2019-12-30,364 days,100.0,220.2888136062624,120.28881360626241,33.66926121512055,9059.05558875914,23.97716997528076,18.826215418859764,40 days,174.0,173.0,1.0,-0.042747337341308596,36.99421965317919,51.68907763666502,-12.319170118976547,6.945095587680067,-2.536105450494639,3 days 07:30:00,1 days 09:14:51.743119266,1.6393801982292637,0.6955581557433721,1.8842655634401397,6.414847038149733,1.3662931406280308,3.3825684073451967
2019,Individual Asset,,,,,,,,XLM-USD,2019-01-01,2019-12-30,364 days,100.0,100.14244036617875,0.1424403661787509,-60.36056170424666,0.1414085830364872,0.030261651992797862,0.039066148098105935,77 days,174.0,173.0,1.0,-4.595400020480156e-05,37.57225433526011,40.71332265511391,-10.774890461658641,6.533865940661082,-2.376572366153867,3 days 09:36:00,1 days 07:33:20,1.6309466301324584,0.000823620347855235,1.8811674832716372,3.6561568557922537,1.3419312535355372,3.2809738874243637
2019,Individual Asset,,,,,,,,ADA-USD,2019-01-01,2019-12-30,364 days,100.0,100.00322323685512,0.003223236855119424,-21.042606755920666,0.09773512362913601,0.020555835012346504,0.049881995021395044,249 days,188.0,187.0,1.0,-3.3594001084566116e-05,31.016042780748666,24.790683240698925,-9.967785993134198,5.675786123117891,-2.701757700751828,3 days 04:08:16.551724137,1 days 09:18:08.372093023,1.0170608766309945,1.7416207787187546e-05,0.05777853339274855,0.06479476298489407,1.0088418297678388,0.0900298576366629
2019,Individual Asset,,,,,,,,TRX-USD,2019-01-01,2019-12-30,364 days,100.0,100.02770346185565,0.027703461855649883,-31.49634745963822,0.03855255644209712,0.008103533029556275,0.013423638066344942,133 days,182.0,181.0,1.0,-1.339999958872795e-05,37.01657458563536,31.903230495693474,-15.593501735993906,6.034268555142637,-2.653977754730507,3 days 02:51:56.417910447,1 days 08:25:15.789473684,1.4132536211473021,0.0001531318334543577,1.1962852384436216,2.069452461424173,1.201466736269085,1.9482003729764537
