period,strategy,num_assets,total_return,sharpe_ratio,max_drawdown,win_rate,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2019,Equal Weight Portfolio,10.0,0.46226344644633266,1.4407966544217146,-0.10592938858757583,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Individual Asset,,,,,,BTC-USD,2019-01-02,2019-12-30,363 days,100.0,219.10708332225624,119.10708332225623,84.94136249508948,100.0,25.494481359826576,22.71727799357808,89 days 00:00:00,81.0,81.0,0.0,0.0,34.5679012345679,23.29902778877367,-13.196962982894721,6.964335251487657,-1.9224123141371248,3 days 09:25:42.857142857,1 days 06:20:22.641509433,1.707300114205309,1.4704578187932866,1.7978648790218135,5.2847902711061945,1.537878945378441,3.2401454751060044
2019,Individual Asset,,,,,,ETH-USD,2019-01-02,2019-12-30,363 days,100.0,175.89848927729787,75.89848927729787,-14.456326784077167,100.0,24.930794750236583,24.640693302459457,84 days 00:00:00,88.0,88.0,0.0,0.0,31.818181818181817,23.61116139677494,-9.07137598976063,6.937629465218667,-2.100043373868021,3 days 06:51:25.714285714,1 days 06:48:00,1.4174711301504128,0.8624828326965672,1.3105618514838255,3.102455295569249,1.339255515334213,2.2687727947359275
2019,Individual Asset,,,,,,XRP-USD,2019-01-02,2019-12-30,363 days,100.0,99.91390606921911,-0.0860939307808877,-48.17385199950499,0.4746202808193967,0.05851888495683672,0.13597585099359058,191 days 00:00:00,94.0,94.0,0.0,0.0,25.53191489361702,28.723191906258045,-9.132106699520481,5.631823097714174,-2.255973332834115,3 days 07:00:00,1 days 06:10:17.142857142,0.8319627987208638,-0.000915892880647742,-0.4912494762407201,-0.6366429884328573,0.8896739000781864,-0.8024389644689108
2019,Individual Asset,,,,,,BCH-USD,2019-01-02,2019-12-30,363 days,100.0,133.64900963603637,33.64900963603637,21.86926970798644,100.0,24.665031815703564,56.821402488922715,229 days 00:00:00,95.0,95.0,0.0,0.0,33.68421052631579,70.68459418203993,-13.41157902830947,8.22223944542984,-3.1335932802244546,2 days 19:30:00,1 days 04:11:25.714285714,1.1221007232881084,0.35420010143196334,0.7292010158293671,0.5959507732388843,1.2057686293680607,1.472744612316363
2019,Individual Asset,,,,,,EOS-USD,2019-01-02,2019-12-30,363 days,100.0,100.57046424794197,0.5704642479419739,-8.383520781822984,8.239730836882233,0.7303172404766086,2.8708283420915275,216 days 00:00:00,93.0,93.0,0.0,0.0,27.956989247311824,35.62564919463354,-15.12808030755427,8.245543510410188,-2.8784209930225306,3 days 04:36:55.384615384,1 days 10:01:47.462686567,1.0721831371304522,0.006134024171419047,0.201190196650004,0.1998086373307757,1.0482449622971608,0.3144809211674764
2019,Individual Asset,,,,,,LTC-USD,2019-01-02,2019-12-30,363 days,100.0,172.4871728382112,72.4871728382112,27.857105286487837,76.62095329765673,11.856979612350463,12.226188772266148,184 days 00:00:00,87.0,87.0,0.0,0.0,39.08045977011494,51.882707722414644,-10.483982635474716,7.750090291808507,-2.6139982939984248,2 days 21:52:56.470588235,1 days 03:37:21.509433962,1.7604580118682354,0.8331858946920807,1.756796657299551,5.971283024248508,1.5224964141416808,3.573079861874656
2019,Individual Asset,,,,,,XLM-USD,2019-01-02,2019-12-30,363 days,100.0,100.04288344434276,0.0428834443427622,-61.49030901949109,0.14141585422659167,0.015595562990754852,0.03760375378953677,155 days 00:00:00,89.0,89.0,0.0,0.0,30.337078651685395,40.71332265511391,-7.289124065380184,7.616059560467664,-2.344750142740197,3 days 06:13:20,1 days 08:30:58.064516129,1.3324203666093937,0.0004818364532894633,0.7475498901472825,1.146687852959665,1.1883094335967002,1.382853624353111
2019,Individual Asset,,,,,,ADA-USD,2019-01-02,2019-12-30,363 days,100.0,99.99261535188928,-0.007384648110717554,-25.772237574381553,0.09770277841031991,0.010303685005754232,0.029750522182168795,201 days 00:00:00,94.0,94.0,0.0,0.0,28.723404255319153,20.572795759112513,-8.426702242643866,6.280204938413279,-2.806844663407226,3 days 00:53:20,1 days 10:23:17.014925373,0.9304774416091125,-7.856008628422876e-05,-0.18023093469467522,-0.24958665670891478,0.9610697655034695,-0.28605185004512784
2019,Individual Asset,,,,,,TRX-USD,2019-01-02,2019-12-30,363 days,100.0,100.00521227929183,0.005212279291823468,-33.73554013759743,0.03855268366233129,0.004157718015834689,0.010006096072715177,211 days 00:00:00,93.0,93.0,0.0,0.0,32.25806451612903,27.276977017114202,-9.776019901801575,6.347696000988093,-2.663376049596027,2 days 20:48:00,1 days 08:45:42.857142857,1.1345119712984266,5.604601389057551e-05,0.3152710660628078,0.5237804832591149,1.0714684308840032,0.5025114642607194
